date,name,product,amount
2020-01-15,서천군수산업협동조합,멸치,106278
2020-01-16,서천군수산업협동조합,멸치,106051
2020-01-17,서천군수산업협동조합,멸치,105855
2020-01-18,서천군수산업협동조합,멸치,104803
2020-01-19,서천군수산업협동조합,멸치,104803
2020-01-20,서천군수산업협동조합,멸치,104133
2020-01-21,서천군수산업협동조합,멸치,103158
2020-01-22,서천군수산업협동조합,멸치,103240
2020-01-23,서천군수산업협동조합,멸치,103248
2020-01-24,서천군수산업협동조합,멸치,103248
2020-01-25,서천군수산업협동조합,멸치,103248
2020-01-26,서천군수산업협동조합,멸치,103248
2020-01-27,서천군수산업협동조합,멸치,103248
2020-01-28,서천군수산업협동조합,멸치,103248
2020-01-29,서천군수산업협동조합,멸치,103248
2020-01-30,서천군수산업협동조합,멸치,103248
2020-01-31,서천군수산업협동조합,멸치,103248
2020-02-01,서천군수산업협동조합,멸치,103248
2020-02-02,서천군수산업협동조합,멸치,103248
2020-02-03,서천군수산업협동조합,멸치,99623
2020-02-04,서천군수산업협동조합,멸치,99223
2020-02-05,서천군수산업협동조합,멸치,99223
2020-02-06,서천군수산업협동조합,멸치,99223
2020-02-07,서천군수산업협동조합,멸치,99075
2020-02-08,서천군수산업협동조합,멸치,99075
2020-02-09,서천군수산업협동조합,멸치,99075
2020-02-10,서천군수산업협동조합,멸치,96430
2020-02-11,서천군수산업협동조합,멸치,96430
2020-02-12,서천군수산업협동조합,멸치,93042
2020-02-13,서천군수산업협동조합,멸치,93040
2020-02-14,서천군수산업협동조합,멸치,93040
2020-02-15,서천군수산업협동조합,멸치,93040
2020-02-16,서천군수산업협동조합,멸치,93040
2020-02-17,서천군수산업협동조합,멸치,93040
2020-02-18,서천군수산업협동조합,멸치,87677
2020-02-19,서천군수산업협동조합,멸치,84091
2020-02-20,서천군수산업협동조합,멸치,84061
2020-02-21,서천군수산업협동조합,멸치,84061
2020-02-22,서천군수산업협동조합,멸치,84033
2020-02-23,서천군수산업협동조합,멸치,84033
